product_id,product_name,category,sub_category,price,rating,created_date,is_active
P0001,Python for Analysts,Course,Data Science,9100,3.1,2022-06-22,1
P0002,SQL Mastery,Course,Data Science,4500,3.4,2023-01-16,0
P0003,Machine Learning A-Z,Course,Data Science,2300,4.5,2024-11-17,1
P0004,Power BI Bootcamp,Course,Data Science,7900,4.2,2022-05-16,1
P0005,Data Viz with Tableau,Course,Data Science,1400,3.2,2022-02-16,1
P0006,Python for Analysts 6,Course,Data Science,3900,4.2,2024-02-25,1
P0007,SQL Mastery 7,Course,Data Science,8100,4.4,2022-11-05,1
P0008,Machine Learning A-Z 8,Course,Data Science,9900,3.8,2024-04-26,1
P0009,Power BI Bootcamp 9,Course,Data Science,6700,3.6,2024-07-04,1
P0010,Data Viz with Tableau 10,Course,Data Science,1000,4.4,2022-09-06,1
P0011,SEO Fundamentals,Course,Marketing,5300,3.3,2023-03-08,1
P0012,Meta Ads Mastery,Course,Marketing,5300,3.2,2022-06-08,0
P0013,Email Marketing Pro,Course,Marketing,2200,4.7,2023-07-12,1
P0014,Content Strategy,Course,Marketing,8700,4.6,2023-02-15,1
P0015,Growth Hacking,Course,Marketing,6800,3.2,2024-04-13,1
P0016,SEO Fundamentals 16,Course,Marketing,5800,4.1,2022-05-03,1
P0017,Meta Ads Mastery 17,Course,Marketing,9000,4.8,2024-08-18,1
P0018,Email Marketing Pro 18,Course,Marketing,5600,3.4,2024-06-15,1
P0019,Content Strategy 19,Course,Marketing,1800,4.3,2022-03-13,1
P0020,Growth Hacking 20,Course,Marketing,4700,4.7,2022-05-04,1
P0021,Figma UI/UX Course,Course,Design,2200,3.6,2023-08-14,1
P0022,Canva for Business,Course,Design,9100,3.3,2023-07-21,1
P0023,Brand Identity Design,Course,Design,5500,4.3,2022-11-22,1
P0024,Motion Graphics,Course,Design,9900,4.3,2024-11-27,1
P0025,Logo Design Pro,Course,Design,8700,3.3,2024-09-13,1
P0026,Figma UI/UX Course 26,Course,Design,4100,3.9,2022-09-11,1
P0027,Canva for Business 27,Course,Design,4400,4.4,2024-09-21,1
P0028,Brand Identity Design 28,Course,Design,3800,3.6,2024-11-29,1
P0029,Motion Graphics 29,Course,Design,1700,4.6,2022-12-22,1
P0030,Logo Design Pro 30,Course,Design,5000,3.5,2023-09-16,1
P0031,Stock Market Basics,Course,Finance,3700,4.8,2024-05-31,1
P0032,Personal Finance 101,Course,Finance,5000,4.3,2022-11-27,1
P0033,Crypto Investing,Course,Finance,6000,3.9,2024-09-25,1
P0034,Financial Modeling,Course,Finance,4300,3.5,2022-08-05,0
P0035,Excel for Finance,Course,Finance,8100,3.5,2024-04-17,0
P0036,Stock Market Basics 36,Course,Finance,8400,4.8,2023-10-28,1
P0037,Personal Finance 101 37,Course,Finance,6100,3.4,2023-07-17,1
P0038,Crypto Investing 38,Course,Finance,2700,4.0,2024-03-02,1
P0039,Financial Modeling 39,Course,Finance,1600,3.3,2022-06-20,1
P0040,Excel for Finance 40,Course,Finance,3000,3.8,2024-11-23,1
P0041,Notion Masterclass,Course,Productivity,1800,3.8,2023-08-21,1
P0042,Time Management Pro,Course,Productivity,6900,3.5,2024-04-01,1
P0043,GTD System,Course,Productivity,8000,4.4,2022-01-18,1
P0044,Deep Work Course,Course,Productivity,2400,4.8,2024-11-25,1
P0045,Second Brain,Course,Productivity,4400,3.7,2024-09-22,1
P0046,Notion Masterclass 46,Course,Productivity,4700,3.3,2023-11-07,1
